Date;rubusd
30.12.2019;61.9473
27.12.2019;62.0219
26.12.2019;62.2236
25.12.2019;61.8335
24.12.2019;61.9749
23.12.2019;62.2618
20.12.2019;62.3509
19.12.2019;62.3702
18.12.2019;62.5678
17.12.2019;62.4263
16.12.2019;62.4196
13.12.2019;62.874
12.12.2019;62.7716
11.12.2019;63.6096
10.12.2019;63.5232
09.12.2019;63.6842
06.12.2019;63.7022
05.12.2019;63.8528
04.12.2019;63.899
03.12.2019;64.2376
02.12.2019;64.2258
29.11.2019;64.2847
28.11.2019;64.0816
27.11.2019;64.0293
26.11.2019;64.0695
25.11.2019;64.0018
22.11.2019;63.8017
21.11.2019;63.7213
20.11.2019;63.867
19.11.2019;63.8378
18.11.2019;63.8436
15.11.2019;63.7861
14.11.2019;64.0672
13.11.2019;64.2791
12.11.2019;64.1447
11.11.2019;63.8623
08.11.2019;63.795
07.11.2019;63.7349
06.11.2019;63.8195
05.11.2019;63.6201
01.11.2019;63.4266
31.10.2019;64.0699
30.10.2019;64.0461
29.10.2019;63.8533
28.10.2019;63.7421
25.10.2019;63.6918
24.10.2019;64.1142
23.10.2019;63.8332
22.10.2019;63.6145
21.10.2019;63.7168
18.10.2019;63.9894
17.10.2019;63.9739
16.10.2019;64.1611
15.10.2019;64.2634
14.10.2019;64.3206
11.10.2019;64.1608
10.10.2019;64.4168
09.10.2019;64.871
08.10.2019;65.2978
07.10.2019;64.8827
04.10.2019;64.6675
03.10.2019;65.2565
02.10.2019;65.2076
01.10.2019;65.3761
30.09.2019;64.8788
27.09.2019;64.4663
26.09.2019;64.2446
25.09.2019;64.2205
24.09.2019;63.8606
23.09.2019;63.8867
20.09.2019;63.9568
19.09.2019;63.888
18.09.2019;64.2417
17.09.2019;64.3238
16.09.2019;63.955
13.09.2019;64.2443
12.09.2019;64.8073
11.09.2019;65.5088
10.09.2019;65.3397
09.09.2019;65.5042
06.09.2019;65.7426
05.09.2019;66.0939
04.09.2019;66.1248
03.09.2019;67.0457
02.09.2019;66.7236
30.08.2019;66.741
29.08.2019;66.5435
28.08.2019;66.5829
27.08.2019;66.5625
26.08.2019;66.0284
23.08.2019;66.08
22.08.2019;65.7025
21.08.2019;65.799
20.08.2019;66.583
19.08.2019;66.8683
16.08.2019;66.4493
15.08.2019;66.1626
14.08.2019;65.947
13.08.2019;65.0535
12.08.2019;65.4797
09.08.2019;65.466
08.08.2019;65.157
07.08.2019;65.5823
06.08.2019;65.3007
05.08.2019;65.082
02.08.2019;65.1608
01.08.2019;63.8614
31.07.2019;63.4543
30.07.2019;63.6775
29.07.2019;63.4945
26.07.2019;63.45
25.07.2019;63.1726
24.07.2019;63.0906
23.07.2019;63.2408
22.07.2019;63.0491
19.07.2019;62.9855
18.07.2019;63.076
17.07.2019;62.7735
16.07.2019;62.8154
15.07.2019;62.6273
12.07.2019;63.0461
11.07.2019;62.822
10.07.2019;63.1717
09.07.2019;63.7482
08.07.2019;63.532
05.07.2019;63.8566
04.07.2019;63.4444
03.07.2019;63.4744
02.07.2019;63.3036
01.07.2019;62.9637
28.06.2019;63.1141
27.06.2019;63.0843
26.06.2019;63.0471
25.06.2019;62.8268
24.06.2019;62.7437
21.06.2019;63.2605
20.06.2019;62.9542
19.06.2019;63.8572
18.06.2019;64.0063
17.06.2019;64.238
14.06.2019;64.3476
13.06.2019;64.5108
11.06.2019;64.5309
10.06.2019;64.683
07.06.2019;64.8506
06.06.2019;65.1177
05.06.2019;65.3041
04.06.2019;65.2016
03.06.2019;65.3872
31.05.2019;65.2353
30.05.2019;65.1219
29.05.2019;65.2092
28.05.2019;64.6768
27.05.2019;64.3911
24.05.2019;64.5071
23.05.2019;64.6785
22.05.2019;64.2991
21.05.2019;64.4398
20.05.2019;64.4893
17.05.2019;64.7144
16.05.2019;64.464
15.05.2019;64.5313
14.05.2019;65.0168
13.05.2019;65.4496
10.05.2019;65.27
08.05.2019;65.0057
07.05.2019;65.2792
06.05.2019;65.2446
03.05.2019;65.1284
02.05.2019;65.5263
30.04.2019;64.5824
29.04.2019;64.5079
26.04.2019;64.7653
25.04.2019;64.7483
24.04.2019;64.2779
23.04.2019;63.7948
22.04.2019;63.8334
19.04.2019;64.0601
18.04.2019;63.9089
17.04.2019;63.9315
16.04.2019;64.2323
15.04.2019;64.2963
12.04.2019;64.3327
11.04.2019;64.5503
10.04.2019;64.3423
09.04.2019;64.8597
08.04.2019;65.0304
05.04.2019;65.2994
04.04.2019;65.4737
03.04.2019;65.1559
02.04.2019;65.4745
01.04.2019;65.4085
29.03.2019;65.6568
28.03.2019;65.0338
27.03.2019;64.9098
26.03.2019;64.3545
25.03.2019;64.0535
22.03.2019;64.715
21.03.2019;63.8304
20.03.2019;64.3329
19.03.2019;64.3915
18.03.2019;64.4841
15.03.2019;65.1951
14.03.2019;65.5063
13.03.2019;65.4505
12.03.2019;65.7081
11.03.2019;66.0169
07.03.2019;66.1418
06.03.2019;65.9398
05.03.2019;65.8317
04.03.2019;65.7177
01.03.2019;65.7454
28.02.2019;65.886
27.02.2019;65.8778
26.02.2019;65.8528
25.02.2019;65.4028
22.02.2019;65.4186
21.02.2019;65.47
20.02.2019;65.6159
19.02.2019;65.991
18.02.2019;66.1715
15.02.2019;66.6203
14.02.2019;67.0418
13.02.2019;65.7607
12.02.2019;65.6578
11.02.2019;65.8249
08.02.2019;65.7226
07.02.2019;65.8815
06.02.2019;65.8043
05.02.2019;65.5873
04.02.2019;65.6372
01.02.2019;65.5856
31.01.2019;65.3962
30.01.2019;65.9968
29.01.2019;66.061
28.01.2019;66.1838
25.01.2019;66.0223
24.01.2019;65.8256
23.01.2019;66.1495
22.01.2019;66.4824
21.01.2019;66.3953
18.01.2019;66.2386
17.01.2019;66.6395
16.01.2019;66.5183
15.01.2019;66.9418
14.01.2019;67.009
11.01.2019;67.0339
10.01.2019;67.1275
09.01.2019;66.9748
08.01.2019;67.0412
04.01.2019;67.8064
03.01.2019;68.8594
29.12.2018;69.8395
28.12.2018;69.6895
27.12.2018;69.402
26.12.2018;69.062
25.12.2018;68.8148
24.12.2018;68.3649
21.12.2018;68.6436
20.12.2018;68.4105
19.12.2018;67.5685
18.12.2018;66.9401
17.12.2018;66.7463
14.12.2018;66.7484
13.12.2018;66.3461
12.12.2018;66.3282
11.12.2018;66.4701
10.12.2018;66.4371
07.12.2018;66.144
06.12.2018;67.0093
05.12.2018;66.8169
04.12.2018;66.5917
03.12.2018;66.6295
30.11.2018;66.9269
29.11.2018;66.2049
28.11.2018;67.367
27.11.2018;67.0631
26.11.2018;67.077
23.11.2018;66.2845
22.11.2018;65.5713
21.11.2018;65.886
20.11.2018;66.0478
19.11.2018;65.8437
16.11.2018;65.8579
15.11.2018;66.3238
14.11.2018;67.0663
13.11.2018;68.0113
12.11.2018;67.6478
09.11.2018;67.5194
08.11.2018;66.4965
07.11.2018;66.1649
06.11.2018;66.0158
02.11.2018;66.0121
01.11.2018;65.6933
31.10.2018;65.8098
30.10.2018;65.55
29.10.2018;65.6049
26.10.2018;65.7752
25.10.2018;65.5403
24.10.2018;65.4214
23.10.2018;65.6213
22.10.2018;65.1325
19.10.2018;65.544
18.10.2018;65.7197
17.10.2018;65.33
16.10.2018;65.315
15.10.2018;65.6308
12.10.2018;66.3249
11.10.2018;66.3198
10.10.2018;66.6135
09.10.2018;66.3979
08.10.2018;66.7515
05.10.2018;66.5975
04.10.2018;66.8994
03.10.2018;65.6871
02.10.2018;65.3098
01.10.2018;65.3756
28.09.2018;65.4168
27.09.2018;65.6247
26.09.2018;65.8736
25.09.2018;65.8646
24.09.2018;65.8229
21.09.2018;66.5051
20.09.2018;66.3074
19.09.2018;66.7882
18.09.2018;67.395
17.09.2018;68.011
14.09.2018;67.9192
13.09.2018;68.4718
12.09.2018;68.8261
11.09.2018;69.6693
10.09.2018;70.5195
07.09.2018;69.6254
06.09.2018;69.3362
05.09.2018;68.4145
04.09.2018;68.0098
03.09.2018;68.1048
31.08.2018;67.6556
30.08.2018;68.2713
29.08.2018;68.185
28.08.2018;67.6703
27.08.2018;67.2079
24.08.2018;67.4683
23.08.2018;68.1963
22.08.2018;67.9243
21.08.2018;67.3391
20.08.2018;67.1979
17.08.2018;67.4823
16.08.2018;66.7876
15.08.2018;67.681
14.08.2018;66.4964
13.08.2018;67.9418
10.08.2018;67.8088
09.08.2018;66.3037
08.08.2018;64.8555
07.08.2018;63.4951
06.08.2018;63.6337
03.08.2018;63.2197
